ID	C_A.ACA	C_A.ACC	C_A.ACG	C_A.ACT	C_A.CCA	C_A.CCC	C_A.CCG	C_A.CCT	C_A.GCA	C_A.GCC	C_A.GCG	C_A.GCT	C_A.TCA	C_A.TCC	C_A.TCG	C_A.TCT	C_G.ACA	C_G.ACC	C_G.ACG	C_G.ACT	C_G.CCA	C_G.CCC	C_G.CCG	C_G.CCT	C_G.GCA	C_G.GCC	C_G.GCG	C_G.GCT	C_G.TCA	C_G.TCC	C_G.TCG	C_G.TCT	C_T.ACA	C_T.ACC	C_T.ACG	C_T.ACT	C_T.CCA	C_T.CCC	C_T.CCG	C_T.CCT	C_T.GCA	C_T.GCC	C_T.GCG	C_T.GCT	C_T.TCA	C_T.TCC	C_T.TCG	C_T.TCT	T_A.ATA	T_A.ATC	T_A.ATG	T_A.ATT	T_A.CTA	T_A.CTC	T_A.CTG	T_A.CTT	T_A.GTA	T_A.GTC	T_A.GTG	T_A.GTT	T_A.TTA	T_A.TTC	T_A.TTG	T_A.TTT	T_C.ATA	T_C.ATC	T_C.ATG	T_C.ATT	T_C.CTA	T_C.CTC	T_C.CTG	T_C.CTT	T_C.GTA	T_C.GTC	T_C.GTG	T_C.GTT	T_C.TTA	T_C.TTC	T_C.TTG	T_C.TTT	T_G.ATA	T_G.ATC	T_G.ATG	T_G.ATT	T_G.CTA	T_G.CTC	T_G.CTG	T_G.CTT	T_G.GTA	T_G.GTC	T_G.GTG	T_G.GTT	T_G.TTA	T_G.TTC	T_G.TTG	T_G.TTT
HG00096	8.0	9.0	5.0	3.0	11.0	0.0	1.0	4.0	5.0	1.0	2.0	2.0	3.0	1.0	7.0	11.0	4.0	2.0	0.0	2.0	7.0	5.0	5.0	6.0	3.0	0.0	3.0	0.0	3.0	4.0	2.0	10.0	30.0	12.0	26.0	17.0	13.0	6.0	15.0	14.0	11.0	12.0	12.0	12.0	7.0	14.0	43.0	15.0	2.0	1.0	7.0	14.0	2.0	5.0	3.0	5.0	4.0	2.0	1.0	4.0	7.0	3.0	5.0	3.0	13.0	9.0	22.0	14.0	16.0	8.0	20.0	13.0	10.0	11.0	15.0	21.0	11.0	15.0	47.0	9.0	9.0	6.0	5.0	11.0	4.0	1.0	2.0	4.0	3.0	1.0	1.0	6.0	5.0	1.0	5.0	10.0
HG00097	15.0	16.0	7.0	3.0	13.0	6.0	1.0	3.0	7.0	2.0	3.0	4.0	4.0	1.0	3.0	15.0	18.0	0.0	4.0	10.0	7.0	2.0	7.0	5.0	4.0	1.0	7.0	0.0	7.0	4.0	5.0	17.0	35.0	24.0	29.0	20.0	13.0	19.0	15.0	23.0	19.0	19.0	14.0	29.0	19.0	21.0	22.0	20.0	3.0	3.0	15.0	12.0	2.0	7.0	6.0	5.0	4.0	2.0	5.0	7.0	7.0	4.0	8.0	6.0	25.0	13.0	27.0	18.0	17.0	12.0	23.0	22.0	10.0	17.0	26.0	30.0	11.0	14.0	28.0	18.0	7.0	10.0	2.0	10.0	4.0	2.0	4.0	7.0	2.0	2.0	6.0	10.0	2.0	3.0	6.0	8.0
HG00099	7.0	12.0	6.0	1.0	11.0	2.0	2.0	3.0	4.0	2.0	2.0	4.0	4.0	2.0	7.0	14.0	8.0	1.0	3.0	10.0	6.0	2.0	8.0	7.0	3.0	0.0	5.0	0.0	3.0	4.0	4.0	14.0	37.0	16.0	20.0	17.0	18.0	11.0	17.0	12.0	10.0	14.0	13.0	12.0	10.0	14.0	36.0	15.0	2.0	3.0	5.0	12.0	4.0	6.0	7.0	6.0	6.0	1.0	2.0	5.0	8.0	3.0	4.0	4.0	13.0	7.0	30.0	17.0	14.0	11.0	18.0	17.0	12.0	15.0	13.0	29.0	10.0	20.0	48.0	8.0	7.0	9.0	4.0	12.0	6.0	2.0	4.0	2.0	3.0	2.0	1.0	7.0	6.0	2.0	5.0	10.0
HG00100	6.0	9.0	7.0	4.0	14.0	2.0	1.0	3.0	3.0	0.0	2.0	3.0	3.0	3.0	6.0	14.0	6.0	1.0	2.0	6.0	5.0	7.0	6.0	4.0	3.0	0.0	4.0	0.0	5.0	3.0	3.0	12.0	32.0	15.0	22.0	17.0	13.0	6.0	15.0	21.0	13.0	17.0	17.0	16.0	14.0	19.0	36.0	16.0	6.0	4.0	8.0	11.0	3.0	6.0	4.0	8.0	4.0	2.0	2.0	5.0	8.0	3.0	4.0	5.0	17.0	13.0	28.0	23.0	14.0	10.0	21.0	20.0	11.0	15.0	17.0	31.0	11.0	19.0	48.0	9.0	10.0	8.0	3.0	10.0	5.0	3.0	2.0	3.0	3.0	1.0	1.0	9.0	6.0	3.0	4.0	12.0
HG00101	5.0	11.0	7.0	1.0	12.0	3.0	1.0	3.0	3.0	2.0	0.0	3.0	3.0	3.0	7.0	9.0	4.0	1.0	2.0	6.0	5.0	5.0	6.0	5.0	2.0	2.0	4.0	0.0	4.0	5.0	3.0	8.0	26.0	12.0	21.0	15.0	14.0	8.0	12.0	17.0	11.0	14.0	11.0	20.0	11.0	14.0	35.0	15.0	5.0	3.0	6.0	7.0	3.0	4.0	3.0	8.0	4.0	2.0	2.0	4.0	10.0	3.0	3.0	4.0	15.0	6.0	26.0	18.0	11.0	7.0	21.0	12.0	13.0	14.0	17.0	25.0	8.0	18.0	44.0	12.0	5.0	6.0	4.0	10.0	3.0	2.0	4.0	3.0	3.0	1.0	3.0	8.0	6.0	3.0	6.0	10.0
HG00102	6.0	9.0	6.0	1.0	13.0	2.0	1.0	6.0	3.0	2.0	0.0	6.0	4.0	1.0	3.0	11.0	6.0	1.0	2.0	7.0	5.0	2.0	5.0	5.0	1.0	0.0	4.0	1.0	2.0	1.0	2.0	9.0	31.0	18.0	23.0	14.0	12.0	9.0	14.0	16.0	10.0	17.0	12.0	19.0	12.0	12.0	24.0	14.0	4.0	5.0	4.0	7.0	5.0	4.0	5.0	5.0	3.0	1.0	3.0	3.0	9.0	2.0	4.0	3.0	14.0	5.0	22.0	15.0	12.0	7.0	14.0	10.0	14.0	12.0	15.0	20.0	6.0	12.0	16.0	13.0	4.0	8.0	0.0	6.0	3.0	2.0	3.0	2.0	2.0	1.0	3.0	5.0	6.0	3.0	5.0	11.0
HG00103	4.0	10.0	6.0	2.0	9.0	1.0	1.0	2.0	4.0	0.0	2.0	2.0	3.0	4.0	2.0	15.0	7.0	1.0	3.0	3.0	4.0	5.0	7.0	4.0	1.0	0.0	4.0	1.0	1.0	0.0	2.0	10.0	31.0	16.0	16.0	10.0	9.0	7.0	18.0	18.0	8.0	15.0	14.0	15.0	8.0	14.0	16.0	13.0	3.0	4.0	3.0	12.0	2.0	4.0	6.0	5.0	3.0	2.0	2.0	1.0	10.0	2.0	4.0	4.0	15.0	8.0	20.0	12.0	11.0	10.0	19.0	16.0	11.0	15.0	12.0	26.0	11.0	9.0	16.0	8.0	9.0	7.0	3.0	6.0	5.0	2.0	2.0	4.0	2.0	1.0	1.0	10.0	6.0	2.0	4.0	12.0
HG00105	10.0	13.0	3.0	5.0	15.0	3.0	2.0	6.0	6.0	4.0	2.0	5.0	4.0	4.0	11.0	16.0	8.0	0.0	3.0	9.0	9.0	5.0	5.0	4.0	8.0	0.0	6.0	0.0	4.0	6.0	4.0	12.0	35.0	17.0	36.0	31.0	22.0	11.0	20.0	21.0	16.0	13.0	20.0	17.0	15.0	20.0	50.0	21.0	6.0	3.0	12.0	14.0	4.0	8.0	6.0	10.0	6.0	1.0	2.0	7.0	12.0	4.0	4.0	8.0	21.0	14.0	33.0	25.0	22.0	12.0	25.0	19.0	15.0	19.0	20.0	32.0	16.0	29.0	81.0	15.0	12.0	12.0	7.0	14.0	5.0	2.0	1.0	6.0	6.0	1.0	2.0	11.0	8.0	1.0	7.0	16.0
HG00106	8.0	16.0	4.0	3.0	14.0	6.0	0.0	2.0	7.0	3.0	3.0	1.0	3.0	1.0	2.0	16.0	11.0	0.0	3.0	5.0	4.0	5.0	6.0	5.0	0.0	0.0	3.0	0.0	5.0	4.0	4.0	15.0	34.0	13.0	24.0	17.0	18.0	14.0	18.0	15.0	15.0	14.0	13.0	24.0	8.0	16.0	18.0	18.0	4.0	3.0	9.0	12.0	3.0	5.0	6.0	4.0	5.0	1.0	3.0	5.0	10.0	4.0	6.0	3.0	22.0	12.0	22.0	19.0	16.0	9.0	20.0	21.0	11.0	17.0	16.0	26.0	8.0	15.0	20.0	14.0	8.0	10.0	3.0	9.0	5.0	2.0	4.0	5.0	2.0	2.0	4.0	15.0	3.0	3.0	5.0	9.0
HG00107	5.0	8.0	5.0	3.0	10.0	2.0	0.0	3.0	5.0	1.0	1.0	4.0	3.0	2.0	6.0	11.0	7.0	2.0	2.0	6.0	5.0	6.0	7.0	4.0	4.0	1.0	3.0	0.0	4.0	5.0	3.0	7.0	33.0	10.0	23.0	17.0	13.0	8.0	17.0	19.0	12.0	13.0	11.0	19.0	12.0	16.0	33.0	13.0	4.0	4.0	5.0	9.0	3.0	5.0	5.0	7.0	3.0	1.0	3.0	4.0	8.0	3.0	4.0	5.0	14.0	11.0	25.0	18.0	12.0	12.0	17.0	16.0	9.0	14.0	17.0	28.0	13.0	17.0	46.0	8.0	11.0	7.0	3.0	10.0	5.0	3.0	2.0	3.0	3.0	1.0	1.0	8.0	6.0	3.0	4.0	11.0
HG00108	7.0	15.0	6.0	1.0	19.0	3.0	1.0	5.0	2.0	3.0	2.0	4.0	5.0	2.0	1.0	16.0	9.0	0.0	4.0	7.0	3.0	4.0	5.0	3.0	1.0	0.0	3.0	1.0	4.0	2.0	3.0	12.0	41.0	15.0	22.0	16.0	18.0	14.0	12.0	22.0	11.0	22.0	8.0	22.0	14.0	11.0	18.0	15.0	6.0	6.0	8.0	13.0	6.0	6.0	6.0	9.0	6.0	1.0	3.0	3.0	10.0	3.0	5.0	4.0	21.0	8.0	26.0	19.0	17.0	13.0	21.0	21.0	17.0	14.0	20.0	32.0	7.0	10.0	13.0	8.0	8.0	13.0	0.0	7.0	4.0	2.0	1.0	4.0	2.0	0.0	2.0	9.0	6.0	4.0	6.0	11.0
HG00109	3.0	8.0	5.0	2.0	7.0	1.0	0.0	3.0	5.0	1.0	2.0	3.0	3.0	2.0	7.0	11.0	7.0	2.0	2.0	8.0	5.0	4.0	6.0	4.0	4.0	1.0	3.0	0.0	4.0	5.0	2.0	7.0	29.0	12.0	22.0	19.0	13.0	6.0	16.0	16.0	12.0	12.0	9.0	15.0	10.0	15.0	34.0	17.0	4.0	5.0	5.0	10.0	3.0	5.0	6.0	6.0	3.0	1.0	3.0	4.0	7.0	3.0	4.0	5.0	11.0	9.0	28.0	20.0	12.0	10.0	17.0	18.0	10.0	14.0	16.0	24.0	12.0	16.0	45.0	9.0	10.0	7.0	3.0	10.0	5.0	2.0	1.0	4.0	4.0	1.0	2.0	8.0	6.0	3.0	5.0	14.0
